brand,name,price,review,message,category,channel,size
N/A,"Pet Qwerks Real Wood Antler, with Smoked Cheese Flavor - Durable Dog Bone Toys for Moderate & Light Chewers | Made in USA, No Shards Or Sharp Points - for Xsmall Dogs & Teething Puppies",$3.99 ,N/A,no discount,toys,amazon,['S']
N/A,"Fido 3 Pack of Puppy's FirstBone Teething Dog Toys, Small, Beef Flavor, Blue, Made in The USA",$8.09 ,N/A,no discount,toys,amazon,['S']
N/A,Ruff & Whiskerz Natural Stick Tugz Dog Toy,$16.47 ,N/A,no discount,toys,amazon,[]
N/A,"dailydose Dental Doubles Dog Treats, Fresh Breath, Plaque Removal, Grain-Free, Preservative-Free, no Artificial Colors, Daily Treat for Small Sized Dogs",$14.87 ,N/A,no discount,toys,amazon,['S']
N/A,"Gnawtlers - Premium Elk Antlers for Dogs, Naturally Shed Elk Antlers, All Natural Elk Antler Dog Chew, Specially Selected from The Heartland Regions (Medium)",$16.99 ,N/A,no discount,toys,amazon,['M']
N/A,"Benebone Fishbone Dog Chew Toy for Aggressive Chewers, Made in USA",$10.88 ,N/A,no discount,toys,amazon,[]
N/A,Squeaky Dog Chew Toys Plush Dog Toy for Large Medium Small Dog Stuffed Dog Toys for Aggressive Chewer Durable Chewing Toys for Puppy Breed…,$14.99 ,N/A,no discount,toys,amazon,"['S', 'M', 'L']"
N/A,"Sedioso Dog Toys, Dog Plush Toy for Large Breed, Cute Squeaky Dog Toys with Crinkle Paper , Dog Chew Toys for Puppy, Small, Middle, Big Dogs",$12.99 ,N/A,no discount,toys,amazon,"['S', 'L']"
N/A,"Pupford Thick Bully Sticks for Aggressive Chewers | Durable, Tough, Soft, Long-Lasting Chews for Dogs of All Ages & Sizes | Single Ingredient, Cleans Teeth, Teaches Proper Chewing Behavior",$14.99 ,N/A,no discount,toys,amazon,[]
N/A,Nylabone Puppy Power Chew Toys | Long Lasting Puppy Chew Toys for Powerful Chewers | Interactive Treat Toys for Puppy,$12.22 ,N/A,no discount,toys,amazon,[]
N/A,"Starmark Everlasting Dental Chew, Medium, Bacon Flavored, 12 Count",$26.99 ,N/A,no discount,toys,amazon,['M']
N/A,"JW Pet Company 43505 Treat Tower Toys for Pets, Small, White/Rings of Blue, Orange, Green",$10.08 ,N/A,no discount,toys,amazon,['S']
N/A,"DOOG Stick Family Fetch Toys Safer Than Real Sticks, Splinter Free, Glow-In-The-Dark Eyes, Floats, Easy to Clean",$9.99 ,N/A,Save 15%,toys,amazon,[]
N/A,Devil Dog Pet Co Yak Cheese Himalayan Dog Chew - Premium Yak Chew - Heavy Duty All Natural Dog Treat for Teething Puppy and Semi Aggressive Chewers - USA Veteran Owned Business,$11.97 ,N/A,no discount,toys,amazon,[]
